synapse,GABA,GAD,gephyrin,GS594,MBP488,NR1,PSD,Synapsin,VGluT1,DAPI1st,location
230,0.120480372,1.15365221,0.216266197,0.206260841,0.045915277,0.24071045,0.182722905,0.360395304,0.158238796,2.601381555,on_synapse
231,0.245826673,1.205817292,0.361290373,0.368934151,0.062860649,0.142636381,0.767851778,0.672522078,0.648665386,4.403566388,on_synapse
232,0.183384508,0.718844059,0.279104173,0.282325305,0.08660548,0.092273748,0.3965603,0.652662994,0.223519124,2.917406387,on_synapse
233,0.131886255,0.731002417,0.241224588,0.299935115,0.054178942,0.110206388,1.027509948,0.820670404,0.633048445,2.137120893,on_synapse
234,0.017366425,0.208949058,0.062148562,0.069255263,0.014215528,0.121419016,0.173846348,0.09849406,0.144176756,0.892760376,on_synapse
235,0.164524028,1.171836916,0.378789296,0.642760376,0.095898661,0.390451229,1.350842176,0.773518008,0.627454398,4.758241789,on_synapse
236,0.069661145,0.285605309,0.104636394,0.124492695,0.001171186,0.049055786,0.285903429,0.453282828,0.222471491,1.611858917,on_synapse
237,0.169950998,1.664351852,0.415950176,0.39493271,0.173797749,0.167324285,2.757946529,0.816703744,0.969289873,4.436826098,on_synapse
1,12.81706373,25.65339527,8.202424072,10.92021647,2.270728114,2.749620574,3.034090909,18.46457738,7.458952955,83.65090509,around_synapse
2,3.068062783,21.36229296,8.262548677,8.831532922,2.393328274,2.86922678,3.336329414,18.93319559,8.073674455,80.1482438,around_synapse
3,4.601987361,21.08138041,8.324606545,14.17745638,1.007534308,2.525928477,2.285197301,15.57018257,5.16219646,74.2498055,around_synapse
4,4.630417177,22.72713031,8.431751224,14.6555496,6.28575528,3.492322212,3.210128431,16.38480661,6.614033857,90.70965016,around_synapse
5,3.728037955,18.05531961,6.889187328,11.07520916,1.065879757,2.97627538,3.462480869,20.05482349,6.240739465,69.58783287,around_synapse
6,9.061435058,21.24605695,8.276267515,12.33981545,1.08714672,3.422990426,2.622535328,14.74882134,6.212991659,76.82077615,around_synapse
7,5.575746948,22.20809739,8.213470989,10.16810572,1.961759854,2.767607685,3.237791424,24.11268727,7.68617573,85.22552546,around_synapse
8,5.105155086,20.98406731,8.105594295,8.702763111,2.053617775,2.663142632,5.062228982,16.60011973,9.2540581,77.11592727,around_synapse
9,3.737040544,21.56485467,8.474297903,8.156983344,1.922724722,3.21931595,3.181822964,19.84803209,8.282192187,85.80933068,around_synapse
10,2.123801143,22.12308055,8.691035991,8.38574986,1.328384859,3.084691613,2.681376581,19.83021662,5.503440338,81.23747896,around_synapse
11,9.057283696,21.18154504,8.071598774,9.261557069,1.917015271,2.76845475,2.831455336,18.22691881,7.401780856,82.75069508,around_synapse
12,4.544609606,21.90737127,8.051366995,8.953836556,2.156496573,2.746658504,5.202475088,24.94231987,10.32979097,81.45737361,around_synapse
13,5.559486277,20.89053668,8.22075426,9.62642715,1.942894858,2.872173758,2.573520559,21.82883379,5.998936333,75.00235435,around_synapse
14,4.569465701,22.65006334,8.262818632,9.817242288,2.478255833,3.238401481,2.789176487,21.2286427,9.413795999,77.61177537,around_synapse
15,6.709384459,22.71568484,8.365106239,10.80562039,2.365509047,3.414674948,2.867097958,15.29525686,7.756415162,82.29834434,around_synapse
16,6.040561337,21.62001539,9.129171556,10.33991429,19.43409261,2.871541594,3.008228327,16.45287364,9.64230797,99.70340186,around_synapse
17,5.460355608,22.44716579,8.206558164,10.3478918,2.338895585,3.701184031,4.325449093,18.23414463,7.623673605,81.47474269,around_synapse
19,3.548749277,20.79908513,7.795896677,10.33574699,1.958885998,2.779537802,3.872472622,27.67282994,7.327482527,70.33156481,around_synapse
20,5.694643723,22.53506817,9.537799077,9.520626084,2.125425658,3.33690918,2.957706803,17.25497398,7.868763391,100.1279828,around_synapse
21,9.219215514,23.47571358,8.638394679,10.79681601,10.91940767,2.761864223,2.940796857,16.83802461,7.676984491,86.3521877,around_synapse
22,10.5724384,25.1611836,8.182218864,12.26273042,7.004934658,2.723883405,3.190995604,17.55522927,8.692366638,82.71119656,around_synapse
23,4.858736779,21.52212678,8.210439836,11.29689891,1.699615048,3.065719272,2.908510611,16.76525886,6.493891992,75.31771418,around_synapse
24,5.630685804,13.43679376,5.963924281,5.916158906,3.887401477,1.872118438,1.81404879,18.9313981,6.182715731,51.63394041,around_synapse
25,3.872418418,21.64145134,9.084938187,9.000147732,6.814060215,2.806614121,3.251197794,14.9515515,8.119150257,82.60522417,around_synapse
26,5.469226354,21.10991863,8.768925365,9.23166131,2.247509183,2.995547648,2.763216764,16.82040098,5.987890266,82.91028722,around_synapse
27,8.547933565,22.21288166,8.940272357,10.27916475,1.988607668,2.949635241,2.810706497,16.45617316,6.316287879,98.34384087,around_synapse
28,8.248120636,23.8018861,8.048712231,9.666433454,2.299658745,3.319873519,2.745866858,16.44227083,9.123274593,81.79853641,around_synapse
29,3.309026715,12.7319927,5.468724492,5.651748971,1.375791798,1.713522005,1.82556308,11.7366117,5.895598451,42.71515555,around_synapse
30,4.958104828,23.3294583,9.13571213,9.602292921,2.186575349,2.931893642,2.787556754,15.80265938,7.262208576,90.07961454,around_synapse
31,13.91110043,22.12197576,8.30243486,12.94599563,2.586120836,2.965040238,3.654544179,19.6044624,7.776171596,82.43967931,around_synapse
32,4.146710157,22.77096406,8.198152612,9.698986392,2.012337708,3.240349358,3.167863133,19.58769354,8.817741015,88.78620326,around_synapse
33,10.27613891,20.14886661,8.520735554,10.869332,2.146570928,2.84037662,2.816449427,14.9632393,6.120688153,77.10463856,around_synapse
34,4.423726806,21.30125388,8.36254227,8.156331533,1.624887038,2.976097556,2.911829332,16.3825293,8.045047335,80.14188694,around_synapse
35,4.791628405,21.04505439,8.129632818,8.331348523,1.946473096,2.800646937,3.270825362,19.46609004,8.950265757,78.90665414,around_synapse
36,3.638604054,21.22077467,7.293080921,9.447778855,1.781657059,2.653264548,3.076256391,15.21791923,8.225731643,74.2683676,around_synapse
37,4.522932751,17.48129088,6.230495896,7.585619098,1.420557993,2.242359056,3.473754804,21.40824703,7.945103391,66.46125325,around_synapse
38,9.7281992,25.05385201,8.463750055,9.478693865,7.611903669,2.604466381,2.663120199,15.39795411,6.8327667,77.24266839,around_synapse
39,9.561755816,22.63153696,8.957850602,15.62837721,2.267953525,3.584784716,2.804603484,14.59216725,7.250939317,80.66836292,around_synapse
40,4.762228769,20.56407651,7.730957867,8.533429837,1.946605505,3.321261861,4.317183479,20.84293907,8.539091816,74.8158089,around_synapse
41,0.789522965,6.247013485,2.800601767,2.393860746,0.265140887,0.916285115,0.73144322,6.268722579,2.365842771,21.2197161,around_synapse
42,4.959170301,22.2023789,8.139817525,10.55112999,1.93217768,2.875974869,3.323634865,20.01822438,9.416856379,85.36174482,around_synapse
43,3.608088602,19.87833349,7.406063724,7.758659122,1.835051129,2.620390635,4.114503055,26.94258714,6.808356715,69.56963306,around_synapse
44,10.23673969,21.79000594,7.421071283,11.42747642,2.105459355,3.174697917,3.046051241,21.68954881,8.937978268,75.17131634,around_synapse
45,3.578120217,14.51387773,4.433857196,6.214204864,1.426170639,2.095260528,2.418641912,10.65580999,5.776119784,44.77717277,around_synapse
46,6.893434708,22.68115225,7.244749078,10.93178083,1.799640525,2.848831023,5.180109173,19.55244727,9.157821906,77.33847767,around_synapse
47,6.119762439,23.442948,7.58754315,11.77723893,1.458778654,3.057258188,3.313258851,16.96906141,8.561661438,77.03083019,around_synapse
48,4.574066989,22.77574071,8.234515469,11.85807783,1.885837896,3.17371881,3.370868477,21.85603368,9.616819145,77.98119452,around_synapse
49,5.468536374,19.9022198,8.236545537,9.276168408,1.439284735,3.437454565,4.68152883,15.78498208,8.536482247,65.75835693,around_synapse
50,6.832861443,22.64158074,7.963983267,11.90008912,1.695157063,3.095788217,3.675037145,20.38966846,9.723854709,73.24837708,around_synapse
51,6.004690666,25.35632844,7.270970892,10.21347311,1.833852595,3.016242876,3.828498732,20.50063314,10.2671657,72.03443435,around_synapse
52,8.723734256,21.92107381,6.098264491,9.640004138,1.125770896,2.594293099,3.052871589,21.53210769,7.761027078,56.45118341,around_synapse
53,16.18702082,20.35090443,4.756765891,8.566993893,1.139071086,2.130411255,3.242252066,13.43183549,5.285184092,46.59368395,around_synapse
54,4.875234351,23.70432864,7.179123144,8.902441396,3.042399213,2.847728389,6.12902781,19.1075815,10.08289731,72.05288523,around_synapse
55,28.60504588,29.48294418,7.754824125,13.9349596,1.691949482,3.880009852,2.64634508,18.53227748,7.855745747,68.74623843,around_synapse
56,15.77937209,22.58354778,5.263324715,9.096346401,1.191220739,2.210624098,1.733982684,13.43430836,5.704964326,47.94867925,around_synapse
57,16.7668771,30.53930976,7.12662611,10.98983905,1.637405622,3.201405469,2.444037598,18.49570069,8.3331382,66.77691307,around_synapse
58,19.37803158,30.898254,7.360308897,11.2119146,1.698537139,3.175413223,2.774398021,19.26942404,8.275390266,65.81046194,around_synapse
59,7.125656112,21.50289157,7.423171814,11.09933298,1.799779501,2.939554779,2.837313228,17.86982408,8.039936401,66.98920816,around_synapse
60,7.983584441,22.73462388,7.707313029,10.93043723,1.626539667,3.391027985,3.304523915,19.15106097,8.479432371,69.08590818,around_synapse
61,6.993624375,24.4509119,7.254206203,9.586245026,1.18385879,3.078917968,3.652573717,15.18601163,9.891680696,70.20252525,around_synapse
62,6.197533597,21.8714344,7.300231755,11.43301704,1.786767385,3.200676498,2.652238474,15.85920168,9.257912822,64.26671932,around_synapse
63,5.277601616,21.76034652,8.008377653,10.39386287,6.070689534,2.88359367,3.615828423,16.17663934,8.901302322,64.25076523,around_synapse
64,4.974630565,25.85119822,7.382140003,11.25435436,1.78585731,3.585163504,4.704071438,19.07248516,8.828058574,70.96162594,around_synapse
65,5.834722081,19.57132634,6.524939349,8.657881424,1.524784886,2.899429905,3.28620308,25.54305045,8.187054326,62.40642891,around_synapse
66,5.824899883,19.07528011,6.923219729,9.894468677,1.617658594,2.711004457,2.210817136,13.11599263,7.117876205,58.56985815,around_synapse
67,4.746106265,12.9738783,4.592875089,5.47619822,1.120103178,1.925582211,1.451685415,9.548170467,4.573412152,38.71592057,around_synapse
68,7.355223106,17.86541906,5.856193812,9.471934553,1.453206305,2.537642843,2.229069596,27.46725958,9.919113271,52.21931294,around_synapse
69,6.966256278,17.75037553,6.01139127,6.977921045,1.442629862,2.307732913,2.063623043,12.09107631,6.455737935,52.86237657,around_synapse
70,5.760315274,18.31316957,5.893250689,7.02026834,1.50328793,2.482056678,2.65315274,14.12860677,6.721156004,48.77678553,around_synapse
71,3.52377436,14.79640725,4.598682532,5.859645699,1.191365677,1.93308591,2.039008775,11.94650546,5.382730079,45.24122666,around_synapse
72,4.368920263,24.07172482,7.227961433,12.81340042,1.863008877,3.563994745,3.680000765,15.66540914,11.16447301,67.47397587,around_synapse
73,5.19906132,22.41223189,7.790187226,10.46670408,1.873648806,2.932389977,3.421882263,17.10220187,8.471663889,74.58669609,around_synapse
74,4.074669251,22.10499212,7.79886973,10.82691321,2.033633898,3.219638869,2.985450748,23.90069537,13.18416063,72.52489896,around_synapse
75,4.998677431,22.016608,7.097998291,9.089141414,2.387047878,2.823237425,4.094079686,15.07563323,8.355614861,59.67242565,around_synapse
76,5.716506394,23.10698171,8.32963544,10.89138013,8.270981419,3.178719717,4.717883804,21.75922029,9.352114722,71.83490063,around_synapse
77,4.159602336,17.73508379,6.263222503,9.010708091,1.257042011,2.606544613,2.684696715,14.04611328,6.953907765,50.45212096,around_synapse
78,5.528558594,22.51241795,7.360686693,9.721560442,1.845511796,3.045274575,3.544622006,21.75869809,8.97343525,66.77938263,around_synapse
79,4.47731524,22.57665743,7.421748348,12.167648,1.863023473,3.07424625,3.006607177,19.5282773,9.517897834,67.75972832,around_synapse
80,12.90890871,23.00166164,6.996326905,12.52718199,1.614077281,3.025825535,4.585744713,25.31834124,10.61567424,69.57936235,around_synapse
81,9.90892511,24.87001199,7.59516631,12.01598944,1.721997755,2.958494031,3.01327288,15.69208754,8.889608203,72.86284818,around_synapse
82,7.20817965,22.20417623,8.177325018,11.95304816,1.372939624,3.436971355,2.841278313,14.38858407,8.064432838,67.61993547,around_synapse
83,30.85427011,24.16877246,7.347708284,15.36500669,1.816836292,3.100001134,2.592257451,17.47979231,9.215914051,57.25717472,around_synapse
84,7.558780141,22.80319114,7.04506272,10.7724722,1.932453038,2.949415593,3.463594985,14.55318618,8.713504999,71.52430024,around_synapse
85,16.84271942,25.75119744,7.465058838,11.16723563,1.911317156,3.021503616,2.558855247,16.42013216,7.938783883,59.98691673,around_synapse
86,7.8445751,23.4652544,8.070498759,10.72775241,2.111121031,3.100293763,2.462193484,19.5757427,10.85586151,75.43907722,around_synapse
87,6.659481317,23.72770919,8.149721117,11.8056505,2.098677573,2.837126172,3.707459698,19.59012048,10.9084015,82.45521432,around_synapse
88,5.768957816,24.7189445,7.427903474,8.848235441,2.063224841,2.700389841,4.404550556,20.77276412,10.88081928,75.2224277,around_synapse
89,5.574066422,21.6391682,7.725824533,10.21522102,1.511617437,3.077874069,3.281279334,15.7848606,8.470962784,68.36262945,around_synapse
90,5.935940392,22.41386903,7.127991677,12.23666317,3.247712515,3.401502398,2.80102249,19.03627454,9.871413449,71.54322536,around_synapse
91,5.963399325,23.73032726,7.244441165,12.95190542,1.836857937,3.787619157,3.023407779,20.46230523,9.506654751,71.63579883,around_synapse
92,6.026334473,23.38454197,7.626032349,10.74071027,2.938286484,3.275712371,4.134296104,22.08720269,10.01092221,76.29038845,around_synapse
93,10.82321593,22.48238609,7.240137668,11.0930162,1.97295921,3.273321235,3.002378584,16.84548406,9.571010429,74.00378241,around_synapse
94,4.879015322,21.86152915,7.44492838,10.4428566,1.383326106,3.302379859,4.039572918,21.25612891,9.458405605,70.03207156,around_synapse
95,5.725311193,21.28986838,7.57119873,12.20401872,1.349621212,3.433797572,2.597162917,16.56526949,9.043732145,66.53015445,around_synapse
96,5.396191715,23.24462682,7.359426334,12.71144526,1.799662024,2.923460616,2.953534078,14.92541195,9.639114631,72.85692659,around_synapse
97,3.912606794,17.23223734,5.559389244,7.912197371,1.445589684,2.887639147,2.522735862,13.05122512,6.574622357,55.68796668,around_synapse
98,11.82987124,21.25962324,5.427824542,9.770174741,1.26150159,2.798254926,2.569884025,13.58635428,6.139213119,56.19907252,around_synapse
99,13.99189735,25.52797865,6.764595928,12.17548592,1.604742979,2.806355059,2.5986363,15.67909445,7.789235473,68.50797671,around_synapse
100,12.61256646,22.72703749,6.371448775,9.635700439,1.545490681,2.463597819,1.884191239,13.90299105,6.069460032,53.33627734,around_synapse
101,6.975035711,23.16934369,7.593292776,10.25382997,1.62298745,3.164094225,3.065942251,15.55484007,8.330053056,71.09530788,around_synapse
102,5.219801551,22.13119962,7.372816549,12.12257933,1.738703959,3.009953066,2.525529283,15.95280584,8.596099888,64.33788006,around_synapse
103,5.579986372,22.1581945,7.301191023,10.68957067,1.795455456,2.914022986,4.291661201,16.62786414,7.730553187,62.28686213,around_synapse
104,21.45034308,26.38712504,7.522125293,12.22461866,1.953702428,3.011595756,2.64941205,20.40392817,9.47622564,74.52868202,around_synapse
105,5.15086577,22.47966832,8.380098332,9.201665221,3.912390955,3.346497381,2.97833767,23.536478,9.077281655,72.50181317,around_synapse
106,5.022548011,22.59509801,7.502316232,9.235597416,10.11352158,3.245064279,2.95907022,24.72973138,11.61582789,67.84146317,around_synapse
107,14.97105252,25.81505076,8.429596288,14.96072103,3.339940713,3.863737483,2.428356436,20.96960678,7.793833902,77.18952421,around_synapse
108,20.14650928,27.69754282,7.557444712,11.67486337,8.491146471,3.103918765,2.26783619,15.71099489,7.159996429,67.24607103,around_synapse
109,10.39906961,23.23167996,7.435616423,11.50572566,2.050780851,3.240439432,4.046198251,18.32526337,8.719224282,67.54710138,around_synapse
110,5.445107642,21.85062202,7.367519896,13.07360765,1.461765017,3.115050214,3.708744188,20.86697695,9.671166025,74.52857125,around_synapse
111,13.50782355,24.43971096,8.446567952,17.33385988,2.052814399,3.493645874,2.824305464,17.27171061,9.273243802,78.06407145,around_synapse
112,5.557567468,21.7747175,7.606093766,10.36085221,3.613346215,2.899410137,3.178220972,20.53402076,11.28168363,67.79009221,around_synapse
113,4.301521812,22.48485274,6.719497869,8.966128031,2.893006241,2.539799652,3.751023138,22.39125614,10.89561864,68.4554446,around_synapse
114,8.83928369,22.351781,6.944984355,11.58356644,2.771990386,2.562138642,2.947295627,16.04623607,7.968493861,62.86923528,around_synapse
115,4.478102362,23.0631785,7.052203857,11.75651018,2.104709979,3.206779283,2.365976048,17.95278989,9.425760127,72.02146528,around_synapse
116,5.641410156,23.52580971,8.508988241,10.08116997,1.897150163,3.290474186,2.904925199,18.77569413,8.078355366,68.27325576,around_synapse
117,28.76606788,26.20975219,7.45500778,13.92706867,2.463674625,3.420896465,2.548987986,20.55287726,7.726995332,72.15393008,around_synapse
118,5.899963743,23.1448522,8.333098299,9.6731292,1.992655633,2.999082637,2.737418376,16.77867328,8.475740449,71.50240774,around_synapse
119,5.921551372,22.18349672,7.669435658,9.333363092,1.188635797,2.818976097,2.815046509,17.11748093,9.390692843,71.0950647,around_synapse
120,10.48804878,23.02510495,7.500351641,10.75585399,5.896083854,3.44882993,2.84204509,15.2917441,8.492844207,69.91448486,around_synapse
121,3.371012046,20.20951784,6.500543631,8.24349875,1.829377264,2.879506077,4.20953777,17.69501757,9.601206191,56.99976007,around_synapse
122,6.060405826,24.04217172,7.55541909,8.969219978,11.07894092,3.672969595,2.665284155,15.9212338,9.279841343,73.69338715,around_synapse
123,5.625863716,24.6161765,6.95793584,8.31534764,1.722263318,3.34898083,4.620123797,18.31030564,13.03875526,72.57166644,around_synapse
124,4.596904086,22.26039435,7.524281819,10.45015319,1.378200495,2.907698619,2.776756765,14.01362318,8.244725595,69.23800788,around_synapse
125,5.319516185,22.09039655,7.5307255,9.55141057,4.111831701,2.826004681,4.689832351,18.78992577,9.292180804,73.77328605,around_synapse
126,4.737906563,20.86891573,7.675477417,10.23631163,1.8101781,3.457077793,3.982589645,15.63856012,7.700558475,69.70818737,around_synapse
127,5.022671156,23.40599174,8.857487756,8.858586496,1.40677992,3.065983063,3.730124477,18.16878571,7.957046475,82.28136989,around_synapse
128,6.362552291,21.69366264,8.125176002,9.006399219,2.13174421,3.037689394,2.386124503,22.55575579,8.260859861,73.4698768,around_synapse
