location,DAPI_2nd,DAPI_3rd,GABA,GAD,gephyrin,NR1,PSD,Synapsin,VGluT1,VGAT,total
on_synapse,0.08629875,3.458045899,0.030028687,0.080889284,0.104244929,0.529816952,0.672419917,0.347442115,0.107270678,0.062263507,5.478720716
on_synapse,0.285610614,6.952328507,0.074491155,0.20059536,0.218262641,1.357540469,0.909591786,0.564208957,0.464215787,0.170813128,11.1976584
on_synapse,0.314166268,8.174737609,0.09397696,0.27785272,0.220755641,0.514855543,1.984851331,1.105935387,0.435566218,0.131941124,13.2546388
on_synapse,0.368295491,9.692924468,0.080832203,0.23711056,0.234846859,0.604820611,1.531550343,0.764296935,0.258147375,0.156410081,13.92923493
on_synapse,0.220903627,5.858112492,0.142046877,0.220601963,0.155584773,1.060241787,0.564985884,0.502837352,0.167449286,0.156706054,9.049470095
on_synapse,0.106319582,3.123722196,0.051487831,0.056664504,0.092724768,0.252074653,0.257772124,0.216981991,0.060606061,0.057874007,4.276227717
on_synapse,0.153080391,2.991157964,0.022727273,0.100845229,0.100469572,0.950253569,0.377803343,0.052615515,0.077066116,0.053085086,4.879104057
on_synapse,0.185123967,7.82742982,0.045014002,0.210211051,0.225995492,0.277877194,1.079888669,0.939003483,0.337176422,0.135448398,11.2631685
on_synapse,0.180967261,5.530820982,0.053229515,0.100018783,0.137672745,0.400920361,1.108886574,0.6294652,0.147052797,0.094557521,8.38359174
on_synapse,0.256602463,5.703483938,0.058195592,0.174862828,0.20094825,0.347744917,2.172338524,0.723311249,0.229993398,0.115816315,9.983297475
on_synapse,0.089789945,1.754601412,0.177436295,0.042854683,0.048424587,0.067962293,0.038373795,0,0.080320248,0.086006371,2.385769628
on_synapse,0.34512426,7.969196093,0.072992184,0.196622498,0.215641984,0.849866325,2.907871242,0.721591519,0.381721584,0.142547347,13.80317504
on_synapse,0.080758515,1.976315323,0.018164601,0.037396172,0.059152997,0.066668754,0.119492967,0.297528487,0.095051757,0.039822293,2.790351866
on_synapse,0.076019398,1.5038078,0.016520388,0.030991736,0.04525391,0.052895123,0.097000717,0.022927908,0.025984393,0.030752681,1.902154054
on_synapse,0.062554783,1.044538881,0.073448848,0.022727273,0.034090909,0.050365483,0.022727273,0.012889745,0.022727273,0.040152298,1.386222765
on_synapse,0.064603681,1.247680316,0.099037378,0.061997558,0.05019722,0.032160969,0.170600113,0.021168295,0.101784373,0.033536814,1.882766717
on_synapse,0.215585879,4.976253086,0.05243104,0.157790744,0.15187292,0.779003679,1.084532672,0.426902924,0.318306224,0.088428288,8.251107458
on_synapse,0.220311682,5.667383831,0.071309451,0.163021082,0.177239146,1.057048699,0.844580288,0.367304715,0.187014776,0.095715798,8.850929467
on_synapse,0.083733181,1.640064716,0.11910474,0.036370466,0.049924015,0.046470528,0.206752442,0.006710607,0.0345989,0.055208831,2.278938426
on_synapse,0.137818455,3.867317806,0.170678232,0.092309268,0.127136125,0.563861758,0.392032648,0.075476402,0.157161396,0.091271088,5.675063179
on_synapse,0.413473579,10.49723949,0.074084193,0.252695057,0.410678915,1.247427316,1.211529267,2.046151788,0.777508367,0.184148965,17.11493694
on_synapse,0.391793593,9.325353459,0.691546245,0.381219081,0.383336423,0.443656269,0.15828349,0.718910691,0.153875613,0.411588787,13.05956365
on_synapse,0.15147104,3.25691978,0.020661157,0.092078751,0.097939861,0.119826173,1.168136569,0.294878253,0.059405095,0.0485153,5.309831979
on_synapse,0.06164851,2.180343727,0.012071124,0.087543827,0.063044703,0.385775106,0.238724017,0.06525169,0.077238292,0.036864513,3.20850551
on_synapse,0.072288437,0.958801482,0,0.02742299,0.039422683,0.192763472,0.326774981,0,0.022582132,0.019009118,1.659065296
on_synapse,0.16334836,4.724526444,0.041419074,0.093843203,0.143751565,0.215015482,1.120853539,0.644568335,0.173849692,0.081529039,7.402704733
on_synapse,0.34728307,6.219018022,0.197851923,0.167087045,0.228789993,0.45624567,0.339762604,0.374359675,0.416243036,0.143554792,8.89019583
on_synapse,0.114447442,1.984794413,0.047652995,0.059072126,0.072232942,0.284701352,0.381373369,0.032588279,0.11031948,0.050338092,3.13752049
on_synapse,0.046280992,1.694867154,0.032798306,0.036363636,0.074315279,0.093128885,0.594836418,0.165453179,0.16750222,0.033833072,2.939379141
on_synapse,0.054395192,1.93425654,0.014876033,0.038173622,0.06295335,0.079816952,0.681107848,0.026685336,0.047114268,0.030991736,2.970370876
on_synapse,0.092753227,2.158813435,0.029245782,0.084484496,0.312393279,0.083506933,0.269427464,0.095015709,0.102708148,0.044771532,3.273120005
on_synapse,0.126781527,3.602958587,0.068329804,0.09330533,0.085965781,0.710712497,0.624464973,0.109734649,0.05830089,0.055907497,5.536461535
on_synapse,0.065735776,1.275758145,0.010330579,0.0282298,0.03862868,0.066542586,0.385919678,0.084894304,0.020661157,0.028520081,2.005220784
on_synapse,0.261363636,8.390276734,0.179968354,0.193469253,0.234731803,0.599093869,0.579081575,2.244188694,0.581053776,0.146953191,13.41018088
on_synapse,0.203681443,6.770985588,0.055050885,0.124137696,0.168181818,0.233727204,0.726207226,1.420435763,0.145406735,0.122768254,9.97058261
on_synapse,0.179757758,4.81377069,0.176063793,0.266619994,0.564906199,0.291777656,0.09216982,0.827171983,0.214671129,0.189926121,7.616835143
on_synapse,0.261386403,8.499931699,0.146221797,0.154207363,0.201210072,0.402995014,0.782491519,0.975926622,0.378409375,0.151358628,11.95413849
on_synapse,0.108947476,3.54873301,0.030670719,0.073181477,0.093265487,0.167498805,0.976432621,0.521269039,0.164182774,0.061945905,5.746127314
on_synapse,0.128450925,3.679799877,0.069332696,0.127590329,0.116166928,0.564746261,1.120022539,0.098954989,0.085912847,0.069329281,6.060306673
on_synapse,0.256793545,6.206692068,0.055314333,0.129699377,0.143659684,0.426893167,1.057680486,0.059597803,0.143303541,0.139161552,8.618795555
on_synapse,0.239658038,6.130671858,0.05332343,0.171049336,0.184348177,1.020874599,0.766921658,0.48373005,0.230147076,0.109757416,9.390481638
on_synapse,0.274394964,6.499223072,0.028689411,0.181729959,0.223359629,0.719591672,2.11882442,0.602329645,0.386921431,0.090180543,11.12524475
on_synapse,0.167153314,4.186855406,0.047873551,0.164014298,0.096834233,0.191778795,0.417622886,0.255802768,0.079047424,0.089133256,5.69611593
on_synapse,0.118306468,3.181966168,0.05270018,0.088731986,0.100764406,0.839215787,0.328899438,0.071773331,0.05855702,0.09474535,4.935660133
on_synapse,0.123348815,4.213199235,0.033815996,0.091633085,0.1081142,0.440000683,0.516819206,0.062680145,0.086749539,0.072238918,5.748599822
on_synapse,0.14539222,2.725629226,0.022727273,0.2024025,0.11412728,0.098960112,1.616633085,0.563443412,0.186057134,0.063153132,5.738525374
on_synapse,0.039669421,2.285410833,0.020483574,0.11242743,0.050966464,0.264582337,0.020442593,0.011532682,0.036472919,0.029786217,2.871774469
on_synapse,0.200026182,4.668027002,0.104102634,0.095334449,0.120019694,0.198944744,0.34442661,0.154025226,0.081987228,0.103394008,6.070287776
on_synapse,0.070636113,1.87512835,0.011833208,0.048491109,0.048009016,0.260627974,0.747896319,0.110133358,0.086244678,0.033201853,3.292201978
on_synapse,0.334642442,7.454179554,0.074541161,0.18332569,0.225492014,0.420702138,2.052835969,0.907429723,0.402214427,0.14543064,12.20079376
on_synapse,0.11288078,2.570311966,0.016528926,0.048528106,0.072232942,0.088650878,0.228894884,0.108872345,0.128602896,0.048254901,3.423758623
on_synapse,0.100992077,1.998271122,0.003389454,0.04338843,0.098435045,0.225885356,0.477648385,0.038944573,0.068403798,0.037147394,3.092505635
on_synapse,0.39414999,9.245677501,0.111099457,0.183769649,0.285555729,0.3535424,2.449408218,1.130333603,0.332247017,0.170916799,14.65670036
on_synapse,0.095454545,1.990068557,0.013636364,0.048694591,0.062809917,0.316054658,0.91462716,0.467482156,0.057776108,0.034706048,4.001310105
on_synapse,0.060480841,0.791087528,0.010368998,0.029378116,0.03738218,0.2344401,0.505882453,0.017847995,0.030044054,0.025523359,1.742435626
on_synapse,0.1660548,4.604384377,0.05769187,0.134135305,0.106382192,1.178542563,0.572046536,0.122913963,0.111564556,0.075245316,7.128961478
on_synapse,0.409061027,9.043010638,0.022159518,0.627051175,0.263581296,0.567086862,1.479283348,1.57443566,0.295672256,0.134464005,14.41580579
on_synapse,0.101591848,2.134774919,0.016059354,0.045176716,0.079846763,0.058606468,0.545215846,0.176398541,0.071484473,0.043576258,3.272731186
on_synapse,0.184898573,4.825268083,0.049269176,0.173919131,0.187750154,0.459944676,1.452134417,0.191482822,0.263110443,0.113277782,7.901055256
on_synapse,0.139024543,3.738326162,0.037460442,0.09690538,0.106772078,0.657494365,0.254083851,0.117088427,0.168988912,0.070973636,5.387117797
on_synapse,0.070580903,1.228536302,0.010330579,0.030991736,0.089278396,0.036259477,0.142258896,0.01486408,0.028135886,0.023329178,1.674565433
